sequence_id	bgc_id	start	end	type
1034347.PRJEA68337.HE978513	BGC0000039	331408	369639	Polyketide
1035195.SAMN02436928.KB290827	BGC0000040	141236	241128	Polyketide
1035195.SAMN02436928.KB290831	BGC0000041	444344	458746	Polyketide
1036181.SAMN05421756.FOFA01000002	BGC0000042	348505	454360	Polyketide
1036181.SAMN05421756.FOFA01000007	BGC0000043	150179	163479	Polyketide
1036181.SAMN05421756.FOFA01000008	BGC0000044	139047	160304	Polyketide
1036674.SAMN02469973.AFPO01000011	BGC0000045	160386	191386	Polyketide
1036674.SAMN02469973.AFPO01000021	BGC0000046	201946	226946	Polyketide
1038014.SAMN04487910.FOAB01000007	BGC0000047	186957	262396	Polyketide
1041504.SAMD00016607.AP012210	BGC0000048	776485	829314	Polyketide
104336.SAMN03256325.JYIU01000045	BGC0000050	162381	212495	Polyketide
1044.SAMN02737001.JMIW01000002	BGC0000051	138045	175105	Polyketide
1045775.SAMN05216378.FOMT01000003	BGC0000052	469351	631070	Polyketide
104663.SAMN04488121.FNBN01000002	BGC0000053	664710	727911	Polyketide
104663.SAMN04488121.FNBN01000009	BGC0000054	190113	251958	Polyketide
1046714.SAMN02472144.AMRX01000007	BGC0000055	282797	337409	Polyketide;Saccharide
1048340.SAMN05444487.FNNQ01000002	BGC0000056	132781	139470	Polyketide
1048983.SAMN02739847.JMIH01000023	BGC0000057	210614	237166	Polyketide
1049789.SAMN02436587.AHMO02000004	BGC0000058	352233	426554	Polyketide
1054996.SAMN05444414.FRBN01000002	BGC0000059	140769	221139	Polyketide
1054996.SAMN05444414.FRBN01000003	BGC0000060	147960	221537	Polyketide
1055723.SAMN05216293.FRAT01000004	BGC0000061	217935	356138	Polyketide
1055723.SAMN05216293.FRAT01000007	BGC0000062	125566	201220	Polyketide
1056495.SAMN02261426.CP003378	BGC0000063	772370	825697	Polyketide
1056816.SAMN02584923.JAFQ01000004	BGC0000064	3189462	3201319	Polyketide
1056820.SAMN02256427.KB900630	BGC0000065	115290	156881	Polyketide
1056820.SAMN02256427.KB900663	BGC0000066	135692	205336	Polyketide
1058.SAMN05421783.FNNZ01000002	BGC0000067	160046	235966	Polyketide
106592.SAMN03838273.LGAP01000003	BGC0000068	153529	181885	Polyketide
106649.SAMD00018638.BBRY01000005	BGC0000069	137565	200967	Polyketide
106654.SAMN06650244.CP020588	BGC0000070	1914124	1969124	Polyketide
1068975.SAMN02440712.KI421448	BGC0000072	130052	164957	Polyketide
1070130.SAMEA3725906.LN999832	BGC0000073	487049	594736	Polyketide
1071072.SAMN02469742.KI301975	BGC0000074	132063	219004	Polyketide
1071085.SAMN02469738.KK033114	BGC0000075	898583	975183	Polyketide
1073325.SAMN05444483.FQVT01000001	BGC0000076	401835	438110	Polyketide
1073325.SAMN05444483.FQVT01000003	BGC0000077	194370	237135	Polyketide
1073327.SAMN04488108.FRXN01000001	BGC0000078	704002	841959	Polyketide
1073328.SAMN05216294.FNKI01000001	BGC0000079	752555	832159	Polyketide
1075417.SAMN05421823.FNFO01000005	BGC0000080	226644	293967	Polyketide
107635.SAMN02597193.AZUO01000001	BGC0000081	1906634	2042054	Polyketide
1076414.SAMN04407485.LQXN01000061	BGC0000082	141937	249564	Polyketide
1076414.SAMN04407485.LQXN01000064	BGC0000083	197053	247596	Polyketide
1076414.SAMN04407485.LQXN01000066	BGC0000084	195313	298153	Polyketide
1076596.SAMN04396916.CP014687	BGC0000085	1502397	1570491	Polyketide
1077936.SAMN05421545.FTNM01000001	BGC0000086	681222	763181	Polyketide
1078085.SAMN02596733.KE150421	BGC0000087	1170486	1281413	Polyketide
1079859.SAMN04515674.FOXH01000005	BGC0000088	243420	298848	Polyketide
1082704.SAMN04363613.LUTN01000003	BGC0000090	145586	246174	Polyketide
1085029.SAMN01940911.KE356581	BGC0000091	139526	171658	Polyketide
1088721.SAMN03002180.CP009291	BGC0000092	1919563	1967544	Polyketide
1088869.SAMN02470912.AGQV01000010	BGC0000093	177564	362814	Polyketide
1089455.SAMD00041798.BAFE01000089	BGC0000094	138482	176430	Polyketide;Saccharide
1089547.SAMN02261300.KB913013	BGC0000096	3003913	3088341	Polyketide
108980.SAMD00020356.BBTT01000004	BGC0000097	109986	199343	Polyketide
108980.SAMD00020356.BBTT01000005	BGC0000098	128286	173286	Polyketide
1094508.SAMN02603686.CP003184	BGC0000099	1393914	1402018	Polyketide
1094980.SAMN00739943.CP003083	BGC0000100	1542513	1645963	Polyketide
1095026.SAMD00022569.BBRB01000001	BGC0000101	504818	510530	Polyketide
1095772.PRJEA82329.HE978641	BGC0000102	527913	586256	Polyketide
1101193.SAMN02746044.JUGF01000002	BGC0000103	739936	847154	Polyketide
1107311.SAMN03078693.JRLZ01000003	BGC0000104	262379	287865	Polyketide;Terpene
110935.SAMN03333328.JYFC01000003	BGC0000105	348787	481331	Polyketide
110935.SAMN03333328.JYFC01000006	BGC0000106	141379	247560	Polyketide
111015.SAMN04435863.CP014228	BGC0000107	1510249	1517068	Polyketide
1110509.SAMN02603883.CP003117	BGC0000108	1268173	1360074	Polyketide
1111479.SAMN02441451.AXAR01000003	BGC0000109	143048	223406	Polyketide
1111730.SAMN02441252.ATTM01000006	BGC0000110	163144	201509	Polyketide
1111737.SAMN02440599.ATYT01000007	BGC0000111	160192	193271	Polyketide
1112215.SAMN02470161.AHWA01000005	BGC0000112	247921	310537	Polyketide
1113895.SAMD00048769.BDAS01000005	BGC0000113	131050	172147	Polyketide
1114924.SAMN05216258.FOQH01000009	BGC0000114	140240	235940	Polyketide
1114964.SAMN02899865.KQ130473	BGC0000115	247331	370911	Polyketide;Saccharide
1116391.SAMN02603387.CP003235	BGC0000116	3853318	3979035	Polyketide
1117319.SAMN02470926.AHCE02000015	BGC0000117	131184	235510	Polyketide
1117319.SAMN02470926.AHCE02000050	BGC0000118	230568	273466	Polyketide
1117707.SAMEA18850168.FRFG01000019	BGC0000119	147198	233548	Polyketide;Saccharide
1118057.PRJEA82079.HE978567	BGC0000120	306264	346481	Polyketide
1118059.PRJEA82277.HE978585	BGC0000121	730693	766936	Polyketide
1118060.PRJEA82083.HE978575	BGC0000122	352163	389002	Polyketide
1118202.SAMN05443429.FQYI01000002	BGC0000123	195745	271941	Polyketide
1120568.SAMN03785586.LGHT01000044	BGC0000124	258105	307525	Polyketide
1120746.SAMEA2602734.CCFG01000011	BGC0000125	226404	311389	Polyketide
1120746.SAMEA2602734.CCFG01000014	BGC0000126	121304	195646	Polyketide
1120918.SAMN05216249.FOJY01000001	BGC0000127	145995	179643	Polyketide
1120918.SAMN05216249.FOJY01000002	BGC0000128	126482	159282	Polyketide
1120919.SAMN02441211.AUBI01000001	BGC0000129	297860	320939	Polyketide
1120919.SAMN02441211.AUBI01000002	BGC0000130	193710	249365	Polyketide
1120920.SAMN03080599.FMWL01000003	BGC0000131	165106	171386	Polyketide
1120931.SAMN02441362.KB893930	BGC0000132	145838	165745	Polyketide
1120933.SAMN02441584.ATUY01000001	BGC0000133	166116	248454	Polyketide
1120934.SAMN02441015.KB894403	BGC0000134	169106	200438	Polyketide
1120936.SAMN02441315.KB907213	BGC0000135	213939	318792	Polyketide
1120937.SAMN02441154.KE384300	BGC0000136	346719	456247	Polyketide
1120946.SAMN02440611.AUBF01000006	BGC0000137	301716	393289	Polyketide
1120947.SAMN02441246.ATUX01000006	BGC0000138	210794	229849	Polyketide
1120948.SAMN02256421.KB903247	BGC0000140	142676	157676	Polyketide
1120949.SAMN02256449.KB903317	BGC0000141	219066	324723	Polyketide
1120951.SAMN02440880.AUBG01000002	BGC0000142	211347	293336	Polyketide
1120955.SAMN03080610.FMVW01000001	BGC0000143	527684	553493	Polyketide
1120958.SAMN02440814.AULD01000005	BGC0000144	405267	533228	Polyketide
1120965.SAMN02441202.AUBV01000009	BGC0000145	138532	171169	Polyketide
1120965.SAMN02441202.AUBV01000010	BGC0000146	127747	148747	Polyketide
1120983.SAMN02440442.KB894571	BGC0000147	412717	480240	Polyketide
1120984.SAMN02584918.JAFB01000013	BGC0000148	131002	211163	Polyketide
1120984.SAMN02584918.KI912602	BGC0000149	116593	207094	Polyketide
1120985.SAMN02441147.KE387170	BGC0000150	358774	418468	NRP;Polyketide
1120996.SAMN02746066.FRCP01000007	BGC0000151	162445	308445	Polyketide;Saccharide
1120996.SAMN02746066.FRCP01000009	BGC0000152	115827	175552	Polyketide
1120999.SAMN02745855.JONM01000005	BGC0000153	148279	215087	NRP;Polyketide
1121020.SAMN02743916.JIAG01000001	BGC0000154	187869	220004	Polyketide
1121023.SAMN02440747.AXXR01000003	BGC0000156	174421	187696	Polyketide
1121028.SAMN02440500.ARQE01000001	BGC0000157	402908	473008	Polyketide
1121030.SAMN02441136.KE387209	BGC0000158	125926	204453	Polyketide
1121034.SAMN02440868.AUCG01000020	BGC0000159	230655	324705	Polyketide
1121090.SAMN02441018.KB894685	BGC0000160	378215	405308	Polyketide
1121090.SAMN02441018.KB894687	BGC0000161	152844	185603	Polyketide
1121091.SAMN02441478.AUMP01000001	BGC0000162	292389	400625	Polyketide
1121092.SAMN02440689.AUMQ01000016	BGC0000163	192695	362385	Polyketide
1121092.SAMN02440689.AUMQ01000022	BGC0000164	156609	269843	Polyketide
1121092.SAMN02440689.KE387240	BGC0000165	168995	251479	Polyketide
1121103.SAMN02769643.KK211040	BGC0000166	278014	321294	Polyketide
1121114.SAMN02441708.KB892660	BGC0000167	159237	223729	Polyketide
1121118.SAMN02743971.KK211205	BGC0000168	342183	393583	Polyketide
1121124.SAMN02841166.JNIX01000009	BGC0000170	212022	236020	Polyketide
1121130.SAMN02584930.KI912579	BGC0000171	131824	184404	Polyketide
1121271.SAMN02440622.AUCM01000004	BGC0000172	199295	247107	Polyketide
1121272.SAMN02256447.KB903251	BGC0000173	156381	223927	Polyketide
1121272.SAMN02256447.KB903292	BGC0000174	187932	260920	Polyketide
1121275.SAMN02440690.AUMS01000001	BGC0000175	274500	319967	Polyketide
1121275.SAMN02440690.AUMS01000004	BGC0000176	240004	309645	NRP;Polyketide
1121278.SAMN02440887.ATZZ01000010	BGC0000177	273779	327115	Polyketide
1121278.SAMN02440887.KE386750	BGC0000178	147406	225646	Polyketide
1121279.SAMN02745887.FPKR01000001	BGC0000179	195380	291177	Polyketide
1121279.SAMN02745887.FPKR01000003	BGC0000180	172889	199755	Polyketide
1121279.SAMN02745887.FPKR01000004	BGC0000181	156915	211755	Polyketide
1121285.SAMN02441523.AUFK01000017	BGC0000182	167732	242869	Polyketide
1121302.SAMN02745163.FQZB01000004	BGC0000184	189345	337403	Polyketide
1121306.SAMN02745196.FQXP01000005	BGC0000185	239515	289762	Polyketide
1121307.SAMN03794733.LFVU01000024	BGC0000186	159845	246405	NRP;Polyketide
1121307.SAMN03794733.LFVU01000026	BGC0000187	153780	217702	Polyketide
1121316.SAMN02745207.FQXM01000002	BGC0000188	242405	280011	Alkaloid
1121319.SAMN02743370.JMLJ01000003	BGC0000189	318955	327078	Polyketide
1121322.SAMN02745136.FRAC01000012	BGC0000190	125139	153852	Polyketide
1121325.SAMN04515677.FNGW01000002	BGC0000191	292877	318760	Polyketide
1121326.SAMN04621187.LWAE01000002	BGC0000192	657863	673018	Polyketide
1121326.SAMN04621187.LWAE01000003	BGC0000193	389873	404680	Polyketide
1121334.SAMN02441299.KB911066	BGC0000194	335332	356615	Polyketide
1121334.SAMN02441299.KB911070	BGC0000195	123142	154172	Polyketide
1121345.SAMN02745217.FRFD01000008	BGC0000196	158135	168129	Polyketide
1121345.SAMN02745217.FRFD01000011	BGC0000197	117146	153082	Polyketide;Saccharide
1121352.SAMN02743966.JHZP01000001	BGC0000198	528788	566813	Polyketide;Saccharide
1121355.SAMN02256419.KB903377	BGC0000199	221474	262368	Polyketide;Saccharide
1121356.SAMN02256507.AQUW01000001	BGC0000200	404168	436133	Polyketide;Saccharide
1121356.SAMN02256507.AQUW01000004	BGC0000201	130932	159460	Polyketide;Saccharide
1121373.SAMN02256446.KB903663	BGC0000202	124662	175055	Polyketide
1121373.SAMN02256446.KB903664	BGC0000203	124011	172416	Polyketide
1121374.SAMN02440427.KB891575	BGC0000204	520913	538393	Polyketide
1121383.SAMN02440753.AXWT01000001	BGC0000205	123241	133352	Polyketide
1121393.SAMN02745216.FQZU01000002	BGC0000207	181015	198555	Polyketide
1121394.SAMN02440872.AUCU01000004	BGC0000208	141914	180659	Polyketide
1121395.SAMN02745215.FRDN01000006	BGC0000209	244016	285544	Polyketide
1121398.SAMN02691716.JQKJ01000002	BGC0000210	147177	189251	Polyketide;Saccharide
1121399.SAMN02441472.AULM01000002	BGC0000211	207503	242157	Polyketide
1121400.SAMN02746065.FWXY01000003	BGC0000212	153391	188508	Polyketide
1121404.SAMN02441536.KE387006	BGC0000213	138389	184927	Polyketide
1121409.SAMN02745124.FQXS01000002	BGC0000214	106147	120227	Polyketide
1121413.SAMN02743346.JMKT01000008	BGC0000215	389559	395028	Polyketide
1121420.SAMN02746098.FQXJ01000003	BGC0000216	397065	447754	Polyketide
1121433.SAMN02743957.KK211185	BGC0000217	149388	157477	Polyketide
1121438.SAMN02841169.JNJA01000006	BGC0000218	126533	135270	Polyketide
1121440.SAMN02440804.AUMA01000006	BGC0000219	158714	182915	Polyketide;Saccharide
1121440.SAMN02440804.AUMA01000009	BGC0000220	126334	148845	Polyketide
1121442.SAMN02745702.FUYA01000005	BGC0000221	138617	159616	Polyketide
1121445.SAMN02440572.ATUZ01000011	BGC0000222	413611	456637	Polyketide
1121445.SAMN02440572.ATUZ01000013	BGC0000223	191101	257999	Polyketide
1121447.SAMN02745701.JONL01000001	BGC0000224	439455	472519	Polyketide
1121448.SAMN02603429.CP006585	BGC0000225	1857435	1882741	Polyketide
1121449.SAMN02745704.FUYC01000001	BGC0000226	250682	284528	Polyketide
1121453.SAMN02441548.AUBP01000001	BGC0000227	267311	306561	Polyketide
1121453.SAMN02441548.AUBP01000002	BGC0000228	211838	217658	Polyketide
1121453.SAMN02441548.AUBP01000006	BGC0000229	125722	167631	Polyketide;Saccharide
1121453.SAMN02441548.KE386878	BGC0000230	205110	242015	Polyketide
1121456.SAMN02441247.ATVA01000012	BGC0000231	229786	235150	Polyketide
1121457.SAMN02745161.FSRG01000004	BGC0000232	397350	432277	Polyketide
1121462.SAMN02441200.AUBQ01000004	BGC0000233	251651	297254	Polyketide
1121472.SAMN02440407.AQWN01000002	BGC0000234	148735	155799	Polyketide
1121479.SAMN02440615.AUBS01000001	BGC0000235	289696	311021	Polyketide
1121482.SAMN02441320.KB907789	BGC0000236	553508	588072	Polyketide
1121483.SAMN02841160.JNJB01000008	BGC0000237	227104	239811	Polyketide
1121859.SAMN02441711.KB890756	BGC0000238	183395	244903	Polyketide
1121867.SAMN02743982.JHZA01000007	BGC0000239	239198	273842	Polyketide;Saccharide
1121887.SAMN02440860.AUDK01000003	BGC0000240	134576	210217	Polyketide;Saccharide
1121891.SAMN02441177.KE383905	BGC0000241	148789	211020	Polyketide;Saccharide
1121895.SAMN02441333.KB899972	BGC0000242	127577	170779	Polyketide
1121898.SAMN02441179.AUGP01000018	BGC0000243	188547	204380	Polyketide
1121898.SAMN02441179.KE383909	BGC0000244	704814	714843	Polyketide
1121902.SAMN02440687.AUMD01000012	BGC0000245	233336	269538	Polyketide
1121904.SAMN02256418.KB903430	BGC0000246	472795	491772	Polyketide
1121904.SAMN02256418.KB903509	BGC0000247	163608	205982	Polyketide;Saccharide
1121904.SAMN02256418.KB903520	BGC0000248	161516	167016	Polyketide
1121914.SAMN02440633.KE384431	BGC0000249	164525	177162	Polyketide
1121921.SAMN02441352.KB898706	BGC0000252	603215	618774	Polyketide
1121922.SAMN02440876.KE386814	BGC0000253	338875	363595	Polyketide
1121924.SAMN02440580.ATWH01000001	BGC0000254	218856	244078	Polyketide
1121924.SAMN02440580.ATWH01000006	BGC0000255	148468	158468	Polyketide
1121924.SAMN02440580.ATWH01000007	BGC0000256	122398	159498	Polyketide
1121929.SAMN02441353.KB898666	BGC0000257	154422	203447	Polyketide
1121935.SAMN02440417.AQXX01000144	BGC0000258	133911	158966	Polyketide
1121938.SAMN02441195.AUDY01000011	BGC0000259	178426	203260	Polyketide
1121940.SAMN02440634.AUDZ01000013	BGC0000260	205933	241672	Polyketide
1121946.SAMN02440609.AUAX01000001	BGC0000261	291154	308354	Polyketide
1121946.SAMN02440609.AUAX01000003	BGC0000262	278992	333034	Polyketide;Saccharide
1121946.SAMN02440609.AUAX01000014	BGC0000263	143637	176438	Polyketide
1121946.SAMN02440609.KE386822	BGC0000264	169675	186337	Polyketide
1121948.SAMN02440888.AUAC01000002	BGC0000265	578814	591784	Polyketide
1121952.SAMN02440591.ATXT01000011	BGC0000266	345220	377854	Polyketide
1121953.SAMN02441650.KB907801	BGC0000267	113450	150098	Polyketide;Saccharide
1121955.SAMN02745146.FQYN01000003	BGC0000268	293067	370617	Polyketide
1121957.SAMN02441588.ATVL01000008	BGC0000269	475499	528772	Polyketide;Saccharide
1122129.SAMN02441182.AUEF01000001	BGC0000270	263020	302448	Polyketide
1122130.SAMN02441507.AUHN01000006	BGC0000271	241259	252377	Polyketide
1122131.SAMN02441508.KE383991	BGC0000272	766420	775347	Polyketide
1122133.SAMN02745157.FQUP01000001	BGC0000273	961214	1004091	Polyketide;Saccharide
1122135.SAMN02441694.KB893134	BGC0000274	474671	509181	Polyketide
1122135.SAMN02441694.KB893157	BGC0000275	178631	191754	Polyketide
1122138.SAMN02256503.AQUZ01000005	BGC0000277	146327	158117	Polyketide
1122138.SAMN02256503.AQUZ01000006	BGC0000278	145324	150732	Polyketide
1122150.SAMN02369505.AZEV01000035	BGC0000279	243272	295527	Polyketide
1122152.SAMN02440851.KE384473	BGC0000280	189651	195684	Polyketide
1122158.SAMN02441384.AQXU01000024	BGC0000281	175102	183239	Polyketide
1122159.SAMN02745246.FQUN01000003	BGC0000282	245261	247874	Polyketide
1122159.SAMN02745246.FQUN01000005	BGC0000283	139457	185658	Unknown
1122159.SAMN02745246.FQUN01000007	BGC0000284	180960	192909	Polyketide
1122159.SAMN02745246.FQUN01000008	BGC0000285	126787	137911	Polyketide;Saccharide
1122180.SAMN02951862.KK088652	BGC0000286	198096	217558	Polyketide
1122182.SAMN02256442.KB903814	BGC0000287	304790	322190	NRP
1122189.SAMN02745165.FQZT01000003	BGC0000288	181559	262512	NRP
1122190.SAMN02743975.KK211213	BGC0000289	153674	242827	NRP;Saccharide
1122191.SAMN02743978.JHZC01000007	BGC0000290	180413	249714	NRP
1122192.SAMN02745673.FUWS01000004	BGC0000291	185513	312446	NRP
1122200.SAMN02952989.JHVJ01000004	BGC0000292	133721	161344	NRP
1122202.SAMN02440466.KB899092	BGC0000293	154786	167551	NRP
1122204.SAMN05421781.FNNC01000004	BGC0000294	132799	165235	NRP
1122204.SAMN05421781.FNNC01000005	BGC0000295	137154	150295	NRP
1122206.SAMN02745753.FQVF01000003	BGC0000296	189689	255775	NRP
1122206.SAMN02745753.FQVF01000005	BGC0000297	149296	180745	NRP;Polyketide;Saccharide
1122206.SAMN02745753.FQVF01000007	BGC0000298	131484	156885	NRP
1122207.SAMN02597439.JAMB01000002	BGC0000299	135300	174738	NRP
1122211.SAMN02743374.JMLW01000001	BGC0000300	154652	189890	NRP
1122212.SAMN02440684.AULO01000008	BGC0000301	191183	215132	NRP
1122223.SAMN02441032.KB890698	BGC0000302	129842	166042	NRP
1122225.SAMN02441142.AULQ01000001	BGC0000303	298732	331882	NRP
1122233.SAMN02746094.KL543983	BGC0000304	120768	183932	NRP
1122236.SAMN02440991.KB905141	BGC0000305	683526	723956	NRP
1122238.SAMN02440686.AULR01000001	BGC0000306	281176	311787	NRP
1122239.SAMN02440801.AULS01000002	BGC0000307	231510	267193	NRP
1122240.SAMN02952990.JHVK01000003	BGC0000308	165405	173256	NRP
1122247.SAMN02256416.KB903841	BGC0000309	122528	142123	NRP
1122252.SAMN05660443.FOLH01000003	BGC0000310	280845	329619	NRP
1122252.SAMN05660443.FOLH01000005	BGC0000311	132149	198818	NRP
1122599.SAMN02440650.KE383915	BGC0000312	143070	184275	NRP
1122603.SAMN02440574.ATVI01000010	BGC0000313	132632	166107	NRP
1122605.SAMN02441376.KB893626	BGC0000314	295862	329730	NRP;Polyketide
1122605.SAMN02441376.KB893646	BGC0000315	161372	244244	NRP
1122607.SAMN02441524.KE384531	BGC0000316	299840	343981	NRP
1122615.SAMN02441519.KE383931	BGC0000317	345902	372783	NRP
1122622.SAMN02441240.ATWJ01000010	BGC0000319	159679	194131	NRP
1122623.SAMN02441165.AUGX01000009	BGC0000320	174636	210500	NRP
1122623.SAMN02441165.AUGX01000013	BGC0000321	140419	184398	NRP
1122916.SAMN02441144.AULU01000003	BGC0000323	284777	317930	NRP
1122916.SAMN02441144.KE383837	BGC0000324	348377	373498	NRP
1122916.SAMN02441144.KE383838	BGC0000325	199383	222009	NRP
1122917.SAMN02440993.KB899661	BGC0000326	272648	328620	NRP
1122917.SAMN02440993.KB899665	BGC0000327	223201	252344	NRP
1122918.SAMN02441316.KB907248	BGC0000328	129117	135614	NRP
1122920.SAMN02441473.KE383842	BGC0000329	944686	966224	NRP
1122921.SAMN02441001.KB898188	BGC0000330	178647	215009	NRP
1122921.SAMN02441001.KB898192	BGC0000331	165120	196713	NRP
1122926.SAMN02440680.AULE01000031	BGC0000332	129788	161668	NRP
1122926.SAMN02440680.KE384308	BGC0000333	202504	249981	NRP
1122927.SAMN02440446.KB895413	BGC0000334	393380	435960	NRP
1122927.SAMN02440446.KB895414	BGC0000335	351633	389142	NRP
1122927.SAMN02440446.KB895415	BGC0000336	220410	347969	NRP
1122927.SAMN02440446.KB895418	BGC0000337	181696	287894	NRP
1122940.SAMN02440721.AXVK01000001	BGC0000339	308962	354562	NRP
1122940.SAMN02440721.KI519436	BGC0000340	158971	177710	NRP
1122940.SAMN02440721.KI519438	BGC0000341	116213	232213	NRP
1122946.SAMN02744830.JOMG01000001	BGC0000342	296456	307390	NRP
1122951.SAMN02440565.ATUE01000007	BGC0000343	133427	167481	NRP
1122963.SAMN02440654.AUHB01000003	BGC0000344	235722	301010	NRP
1122967.SAMN02441712.KB890767	BGC0000345	182727	208510	NRP;Polyketide
1122976.SAMN02440769.KI535307	BGC0000346	167428	197358	NRP;Polyketide
1122978.SAMN02440641.KE384540	BGC0000347	149617	173430	NRP
1122992.SAMEA2272439.HG417090	BGC0000348	254809	274188	NRP
1122998.SAMN02440839.KE384019	BGC0000349	193139	217284	NRP
1122999.SAMN02440659.KE384020	BGC0000350	506547	541939	NRP
1123008.SAMN02440983.KB905697	BGC0000351	168289	183512	NRP
1123010.SAMN02745724.FOLO01000001	BGC0000352	146640	172871	NRP
1123013.SAMN02441498.AUIC01000004	BGC0000353	247587	276319	NRP
1123023.SAMN02743958.JIAI01000001	BGC0000354	877598	948418	NRP
1123023.SAMN02743958.JIAI01000005	BGC0000355	252276	277088	NRP
1123023.SAMN02743958.JIAI01000008	BGC0000356	198097	225805	Alkaloid;NRP
1123025.SAMN02441208.KE386837	BGC0000357	182081	200617	NRP
1123036.SAMN02440766.AXWP01000008	BGC0000359	196595	220754	NRP
1123055.SAMN02745773.KL544005	BGC0000360	753080	808731	NRP
1123059.SAMN02440387.KB823011	BGC0000361	671356	697621	NRP
1123059.SAMN02440387.KB823012	BGC0000362	255435	326721	NRP
1123060.SAMN02745777.JONP01000005	BGC0000363	133306	173289	NRP
1123062.SAMN02745775.FOSQ01000006	BGC0000364	186844	226916	NRP
1123065.SAMN02440902.ATWL01000001	BGC0000365	247181	314410	NRP
1123065.SAMN02440902.ATWL01000002	BGC0000366	197632	234474	NRP
1123069.SAMN02469744.KE557322	BGC0000367	212164	273516	NRP
1123070.SAMN02441342.KB899247	BGC0000368	154210	180688	NRP
1123072.SAMN02440628.AUDH01000003	BGC0000369	138265	205564	NRP;Saccharide
1123077.SAMN02440771.AXVJ01000025	BGC0000371	192220	214749	NRP
1123077.SAMN02440771.KI519428	BGC0000372	161412	183676	NRP
1123226.SAMN02441675.KB899279	BGC0000373	136639	154957	NRP
1123228.SAMN02440661.AUIH01000001	BGC0000374	133837	185336	NRP
1123234.SAMN02440676.KE384221	BGC0000375	230859	240316	NRP
1123239.SAMN02441685.KB898625	BGC0000376	207577	251250	NRP
1123240.SAMN02441589.ATVO01000003	BGC0000377	286059	316597	NRP
1123240.SAMN02441589.ATVO01000004	BGC0000378	225309	281390	NRP
1123240.SAMN02441589.ATVO01000006	BGC0000379	175004	263916	NRP
1123241.SAMN02440642.AUFT01000001	BGC0000380	305967	386142	NRP;Polyketide
1123242.SAMN02469369.JH636436	BGC0000381	524358	563217	NRP
1123248.SAMN02440437.KB893326	BGC0000382	194507	213907	NRP
1123248.SAMN02440437.KB893348	BGC0000383	161103	179452	NRP;Polyketide
1123250.SAMN02440984.KB908379	BGC0000384	167421	184421	NRP
1123252.SAMN02441224.ATZF01000002	BGC0000385	164971	315034	NRP
1123255.SAMN02743894.JHYS01000001	BGC0000387	207549	220058	NRP
